Country,ProductName,Percentage
Australia,Vegie-spread,0
Australia,Perth Pasties,0
Australia,Pavlova,0
Australia,Outback Lager,0
Australia,Manjimup Dried Apples,0
Australia,Filo Mix,0
Australia,Carnarvon Tigers,0
Australia,Alice Mutton,0
Brazil,Guaraná Fantástica,0
Canada,Tourtière,0
Canada,Tarte au sucre,0
Canada,Sirop d'érable,0
Canada,Pâté chinois,0
Denmark,Spegesild,0
Denmark,Røgede sild,0
Finland,Valkoinen suklaa,0
Finland,Maxilaku,0
Finland,Lakkalikööri,0
France,Raclette Courdavault,0
France,Escargots de Bourgogne,0
France,Côte de Blaye,0
France,Chartreuse verte,0
France,Camembert Pierrot,0
Germany,Wimmers gute Semmelknödel,0
Germany,Thüringer Rostbratwurst,0
Germany,Schoggi Schokolade,0
Germany,Rössle Sauerkraut,0
Germany,Rhönbräu Klosterbier,0
Germany,Original Frankfurter grüne Soße,0
Germany,NuNuCa Nuß-Nougat-Creme,0
Germany,Nord-Ost Matjeshering,0
Germany,Gumbär Gummibärchen,0
Italy,Ravioli Angelo,0
Italy,Mozzarella di Giovanni,0
Italy,Mascarpone Fabioli,0
Italy,Gorgonzola Telino,0
Italy,Gnocchi di nonna Alice,0
Japan,Tofu,0
Japan,Mishi Kobe Niku,0
Japan,Longlife Tofu,0
Japan,Konbu,0
Japan,Ikura,0
Japan,Genen Shouyu,0
Netherlands,Zaanse koeken,0
Netherlands,Chocolade,0
Norway,Gudbrandsdalsost,0
Norway,Geitost,0
Norway,Fløtemysost,0
Singapore,Singaporean Hokkien Fried Mee,0
Singapore,Ipoh Coffee,0
Singapore,Gula Malacca,0
Spain,Queso Manchego La Pastora,0
Spain,Queso Cabrales,0
Sweden,Tunnbröd,0
Sweden,Röd Kaviar,0
Sweden,Inlagd Sill,0
Sweden,Gustaf's Knäckebröd,0
Sweden,Gravad lax,0
UK,Teatime Chocolate Biscuits,0
UK,Sir Rodney's Scones,0
UK,Sir Rodney's Marmalade,0
UK,Scottish Longbreads,0
UK,Chang,0
UK,Chais,0
UK,Aniseed Syrup,0
USA,Uncle Bob's Organic Dried Pears,0
USA,Steeleye Stout,0
USA,Sasquatch Ale,0
USA,Northwoods Cranberry Sauce,0
USA,Louisiana Hot Spiced Okra,0
USA,Louisiana Fiery Hot Pepper Sauce,0
USA,Laughing Lumberjack Lager,0
USA,Jack's New England Clam Chowder,0
USA,Grandma's Boysenberry Spread,0
USA,Chef Anton's Gumbo Mix,0
USA,Chef Anton's Cajun Seasoning,0
USA,Boston Crab Meat,0
